band_index_kept,orig_band_index,wavelength_nm
0,10,972.55
1,11,978.89
2,12,985.23
3,13,991.56
4,14,997.9
5,15,1004.23
6,16,1010.56
7,17,1016.9
8,18,1023.23
9,19,1029.56
10,20,1035.9
11,21,1042.23
12,22,1048.56
13,23,1054.89
14,24,1061.22
15,25,1067.55
16,26,1073.88
17,27,1080.21
18,28,1086.54
19,29,1092.87
20,30,1099.19
21,31,1105.52
22,32,1111.85
23,33,1118.18
24,34,1124.5
25,35,1130.83
26,36,1137.16
27,37,1143.48
28,38,1149.81
29,39,1156.13
30,40,1162.45
31,41,1168.78
32,42,1175.1
33,43,1181.42
34,44,1187.75
35,45,1194.07
36,46,1200.39
37,47,1206.71
38,48,1213.03
39,49,1219.35
40,50,1225.67
41,51,1231.99
42,52,1238.31
43,53,1244.63
44,54,1250.95
45,55,1257.27
46,56,1263.58
47,57,1269.9
48,58,1276.22
49,59,1282.53
50,60,1288.85
51,61,1295.17
52,62,1301.48
53,63,1307.79
54,64,1314.11
55,65,1320.42
56,66,1326.74
57,67,1333.05
58,68,1339.36
59,69,1345.67
60,70,1351.99
61,71,1358.3
62,72,1364.61
63,73,1370.92
64,74,1377.23
65,75,1383.54
66,76,1389.85
67,77,1396.16
68,78,1402.47
69,79,1408.77
70,80,1415.08
71,81,1421.39
72,82,1427.7
73,83,1434.0
74,84,1440.31
75,85,1446.62
76,86,1452.92
77,87,1459.23
78,88,1465.53
79,89,1471.83
80,90,1478.14
81,91,1484.44
82,92,1490.74
83,93,1497.05
84,94,1503.35
85,95,1509.65
86,96,1515.95
87,97,1522.25
88,98,1528.55
89,99,1534.85
90,100,1541.15
91,101,1547.45
92,102,1553.75
93,103,1560.05
94,104,1566.35
95,105,1572.64
96,106,1578.94
97,107,1585.24
98,108,1591.53
99,109,1597.83
100,110,1604.13
101,111,1610.42
102,112,1616.72
103,113,1623.01
104,114,1629.3
105,115,1635.6
106,116,1641.89
107,117,1648.18
108,118,1654.48
109,119,1660.77
110,120,1667.06
111,121,1673.35
112,122,1679.64
113,123,1685.93
114,124,1692.22
115,125,1698.51
116,126,1704.8
117,127,1711.09
118,128,1717.38
119,129,1723.66
120,130,1729.95
121,131,1736.24
122,132,1742.53
123,133,1748.81
124,134,1755.1
125,135,1761.38
126,136,1767.67
127,137,1773.95
128,138,1780.24
129,139,1786.52
130,140,1792.8
131,141,1799.09
132,142,1805.37
133,143,1811.65
134,144,1817.93
135,145,1824.21
136,146,1830.5
137,147,1836.78
138,148,1843.06
139,149,1849.34
140,150,1855.61
141,151,1861.89
142,152,1868.17
143,153,1874.45
144,154,1880.73
145,155,1887.0
146,156,1893.28
147,157,1899.56
148,158,1905.83
149,159,1912.11
150,160,1918.38
151,161,1924.66
152,162,1930.93
153,163,1937.21
154,164,1943.48
155,165,1949.75
156,166,1956.03
157,167,1962.3
158,168,1968.57
159,169,1974.84
160,170,1981.11
161,171,1987.39
162,172,1993.66
163,173,1999.93
164,174,2006.19
165,175,2012.46
166,176,2018.73
167,177,2025.0
168,178,2031.27
169,179,2037.54
170,180,2043.8
171,181,2050.07
172,182,2056.34
173,183,2062.6
174,184,2068.87
175,185,2075.13
176,186,2081.4
177,187,2087.66
178,188,2093.93
179,189,2100.19
180,190,2106.45
181,191,2112.71
182,192,2118.98
183,193,2125.24
184,194,2131.5
185,195,2137.76
186,196,2144.02
187,197,2150.28
188,198,2156.54
189,199,2162.8
190,200,2169.06
191,201,2175.32
192,202,2181.58
193,203,2187.83
194,204,2194.09
195,205,2200.35
196,206,2206.6
197,207,2212.86
198,208,2219.12
199,209,2225.37
200,210,2231.63
201,211,2237.88
202,212,2244.13
203,213,2250.39
204,214,2256.64
205,215,2262.89
206,216,2269.15
207,217,2275.4
208,218,2281.65
209,219,2287.9
210,220,2294.15
211,221,2300.4
212,222,2306.65
213,223,2312.9
214,224,2319.15
215,225,2325.4
216,226,2331.65
217,227,2337.9
218,228,2344.14
219,229,2350.39
220,230,2356.64
221,231,2362.88
222,232,2369.13
223,233,2375.37
224,234,2381.62
225,235,2387.86
226,236,2394.11
227,237,2400.35
228,238,2406.6
229,239,2412.84
230,240,2419.08
231,241,2425.32
232,242,2431.57
233,243,2437.81
234,244,2444.05
235,245,2450.29
