sample,images,prob_mean,prob_min,prob_max,detections,images_with_detection,duration_sec
3491B_240506-155911,236,0.9401111069877269,0.8889354467391968,0.9690179228782654,378,236,5.276153104001423
351_1_240506-160920,236,0.9363982568858034,0.8700721859931946,0.9632206559181213,236,236,2.953778795001199
420_240506-160205,236,0.7174221203993942,0.0,0.9649363160133362,295,219,3.0680984499995247
426_1_240506-160058,236,0.9457573193614766,0.9391408562660217,0.9569252729415894,236,236,2.872568119999414
491_240506-160846,236,0.8601946376137815,0.0,0.9688238501548767,350,229,3.169711211001413
503B_240506-160006,236,0.9674077529018208,0.958811342716217,0.9706089496612549,236,236,3.1854225850001967
508_240506-160326,236,0.9402343931339555,0.873796284198761,0.9667612910270691,236,236,2.908059585000956
534_240506-160510,236,0.9363299762293443,0.7344316840171814,0.9657539129257202,237,236,2.9632530950002547
537_240506-160651,236,0.8851767558667619,0.5356658697128296,0.9649931192398071,306,236,3.114308850999805
539_240506-160131,236,0.9195202919891325,0.7646684050559998,0.9691501259803772,266,236,2.972330917000363
548A_240506-160359,236,0.5095572453939309,0.0,0.9690787196159363,161,143,2.6889042559996597
549_240506-160758,236,0.6967268629094302,0.0,0.9675790071487427,243,197,2.864364052999008
553_240506-160724,236,0.3790703193616059,0.0,0.9590693116188049,171,99,2.707293748000666
554A_240506-160433,236,0.9708704370058189,0.9664145708084106,0.973127007484436,236,236,3.259270758000639
559_240506-160951,236,0.9652032485957873,0.951595664024353,0.971050500869751,236,236,3.1761492579989863
560B_240506-160251,236,0.9466415423963029,0.8675989508628845,0.9660902619361877,236,236,2.9564298569985112
